Mod:Item:MetaData, Localized Name
appliedenergistics2:facade:0, Cable Facade - Sheldonite Ore
appliedenergistics2:facade:0, Cable Facade - Nether Sheldonite Ore
appliedenergistics2:facade:0, Cable Facade - End Sheldonite Ore
appliedenergistics2:facade:0, Cable Facade - Diamond Ore
appliedenergistics2:facade:0, Cable Facade - Nether Diamond Ore
appliedenergistics2:facade:0, Cable Facade - End Diamond Ore
appliedenergistics2:facade:0, Cable Facade - Emerald Ore
appliedenergistics2:facade:0, Cable Facade - Nether Emerald Ore
appliedenergistics2:facade:0, Cable Facade - End Emerald Ore
appliedenergistics2:facade:0, Cable Facade - Galena Ore
appliedenergistics2:facade:0, Cable Facade - Nether Galena Ore
appliedenergistics2:facade:0, Cable Facade - End Galena Ore
appliedenergistics2:facade:0, Cable Facade - Garnierite Ore
appliedenergistics2:facade:0, Cable Facade - Nether Garnierite Ore
appliedenergistics2:facade:0, Cable Facade - End Garnierite Ore
appliedenergistics2:facade:0, Cable Facade - Green Sapphire Ore
appliedenergistics2:facade:0, Cable Facade - Nether Green Sapphire Ore
appliedenergistics2:facade:0, Cable Facade - End Green Sapphire Ore
appliedenergistics2:facade:0, Cable Facade - Grossular Ore
appliedenergistics2:facade:0, Cable Facade - Nether Grossular Ore
appliedenergistics2:facade:0, Cable Facade - End Grossular Ore
appliedenergistics2:facade:0, Cable Facade - Ilmenite Ore
appliedenergistics2:facade:0, Cable Facade - Nether Ilmenite Ore
appliedenergistics2:facade:0, Cable Facade - End Ilmenite Ore
appliedenergistics2:facade:0, Cable Facade - Bauxite Ore
appliedenergistics2:facade:0, Cable Facade - Nether Bauxite Ore
appliedenergistics2:facade:0, Cable Facade - End Bauxite Ore
appliedenergistics2:facade:0, Cable Facade - Lazurite Ore
appliedenergistics2:facade:0, Cable Facade - Nether Lazurite Ore
appliedenergistics2:facade:0, Cable Facade - End Lazurite Ore
appliedenergistics2:facade:0, Cable Facade - Magnesite Ore
appliedenergistics2:facade:0, Cable Facade - Nether Magnesite Ore
appliedenergistics2:facade:0, Cable Facade - End Magnesite Ore
appliedenergistics2:facade:0, Cable Facade - Magnetite Ore
appliedenergistics2:facade:0, Cable Facade - Nether Magnetite Ore
appliedenergistics2:facade:0, Cable Facade - End Magnetite Ore
appliedenergistics2:facade:0, Cable Facade - Molybdenite Ore
appliedenergistics2:facade:0, Cable Facade - Nether Molybdenite Ore
appliedenergistics2:facade:0, Cable Facade - End Molybdenite Ore
appliedenergistics2:facade:0, Cable Facade - Powellite Ore
appliedenergistics2:facade:0, Cable Facade - Nether Powellite Ore
appliedenergistics2:facade:0, Cable Facade - End Powellite Ore
appliedenergistics2:facade:0, Cable Facade - Pyrite Ore
appliedenergistics2:facade:0, Cable Facade - Nether Pyrite Ore
appliedenergistics2:facade:0, Cable Facade - End Pyrite Ore
appliedenergistics2:facade:0, Cable Facade - Pyrolusite Ore
appliedenergistics2:facade:0, Cable Facade - Nether Pyrolusite Ore
appliedenergistics2:facade:0, Cable Facade - End Pyrolusite Ore
appliedenergistics2:facade:0, Cable Facade - Pyrope Ore
appliedenergistics2:facade:0, Cable Facade - Nether Pyrope Ore
appliedenergistics2:facade:0, Cable Facade - End Pyrope Ore
appliedenergistics2:facade:0, Cable Facade - Rock Salt Ore
appliedenergistics2:facade:0, Cable Facade - Nether Rock Salt Ore
appliedenergistics2:facade:0, Cable Facade - End Rock Salt Ore
appliedenergistics2:facade:0, Cable Facade - Ruby Ore
appliedenergistics2:facade:0, Cable Facade - Nether Ruby Ore
appliedenergistics2:facade:0, Cable Facade - End Ruby Ore
appliedenergistics2:facade:0, Cable Facade - Salt Ore
appliedenergistics2:facade:0, Cable Facade - Nether Salt Ore
appliedenergistics2:facade:0, Cable Facade - End Salt Ore
appliedenergistics2:facade:0, Cable Facade - Saltpeter Ore
appliedenergistics2:facade:0, Cable Facade - Nether Saltpeter Ore
appliedenergistics2:facade:0, Cable Facade - End Saltpeter Ore
appliedenergistics2:facade:0, Cable Facade - Sapphire Ore
appliedenergistics2:facade:0, Cable Facade - Nether Sapphire Ore
appliedenergistics2:facade:0, Cable Facade - End Sapphire Ore
appliedenergistics2:facade:0, Cable Facade - Scheelite Ore
appliedenergistics2:facade:0, Cable Facade - Nether Scheelite Ore
appliedenergistics2:facade:0, Cable Facade - End Scheelite Ore
appliedenergistics2:facade:0, Cable Facade - Sodalite Ore
appliedenergistics2:facade:0, Cable Facade - Nether Sodalite Ore
appliedenergistics2:facade:0, Cable Facade - End Sodalite Ore
appliedenergistics2:facade:0, Cable Facade - Tantalite Ore
appliedenergistics2:facade:0, Cable Facade - Nether Tantalite Ore
appliedenergistics2:facade:0, Cable Facade - End Tantalite Ore
appliedenergistics2:facade:0, Cable Facade - Spessartine Ore
appliedenergistics2:facade:0, Cable Facade - Nether Spessartine Ore
appliedenergistics2:facade:0, Cable Facade - End Spessartine Ore
appliedenergistics2:facade:0, Cable Facade - Sphalerite Ore
appliedenergistics2:facade:0, Cable Facade - Nether Sphalerite Ore
appliedenergistics2:facade:0, Cable Facade - End Sphalerite Ore
appliedenergistics2:facade:0, Cable Facade - Stibnite Ore
appliedenergistics2:facade:0, Cable Facade - Nether Stibnite Ore
appliedenergistics2:facade:0, Cable Facade - End Stibnite Ore
appliedenergistics2:facade:0, Cable Facade - Tetrahedrite Ore
appliedenergistics2:facade:0, Cable Facade - Nether Tetrahedrite Ore
appliedenergistics2:facade:0, Cable Facade - End Tetrahedrite Ore
appliedenergistics2:facade:0, Cable Facade - Topaz Ore
appliedenergistics2:facade:0, Cable Facade - Nether Topaz Ore
appliedenergistics2:facade:0, Cable Facade - End Topaz Ore
appliedenergistics2:facade:0, Cable Facade - Tungstate Ore
appliedenergistics2:facade:0, Cable Facade - Nether Tungstate Ore
appliedenergistics2:facade:0, Cable Facade - End Tungstate Ore
appliedenergistics2:facade:0, Cable Facade - Uraninite Ore
appliedenergistics2:facade:0, Cable Facade - Nether Uraninite Ore
appliedenergistics2:facade:0, Cable Facade - End Uraninite Ore
appliedenergistics2:facade:0, Cable Facade - Wulfenite Ore
appliedenergistics2:facade:0, Cable Facade - Nether Wulfenite Ore
appliedenergistics2:facade:0, Cable Facade - End Wulfenite Ore
appliedenergistics2:facade:0, Cable Facade - Yellow Limonite Ore
appliedenergistics2:facade:0, Cable Facade - Nether Yellow Limonite Ore
appliedenergistics2:facade:0, Cable Facade - End Yellow Limonite Ore
appliedenergistics2:facade:0, Cable Facade - Nether Quartz Ore
appliedenergistics2:facade:0, Cable Facade - Nether Quartz Ore
appliedenergistics2:facade:0, Cable Facade - End Nether Quartz Ore
appliedenergistics2:facade:0, Cable Facade - Quartzite Ore
appliedenergistics2:facade:0, Cable Facade - Nether Quartzite Ore
appliedenergistics2:facade:0, Cable Facade - End Quartzite Ore
appliedenergistics2:facade:0, Cable Facade - Graphite Ore
appliedenergistics2:facade:0, Cable Facade - Nether Graphite Ore
appliedenergistics2:facade:0, Cable Facade - End Graphite Ore
appliedenergistics2:facade:0, Cable Facade - Bornite Ore
appliedenergistics2:facade:0, Cable Facade - Nether Bornite Ore
appliedenergistics2:facade:0, Cable Facade - End Bornite Ore
appliedenergistics2:facade:0, Cable Facade - Chalcocite Ore
appliedenergistics2:facade:0, Cable Facade - Nether Chalcocite Ore
appliedenergistics2:facade:0, Cable Facade - End Chalcocite Ore
appliedenergistics2:facade:0, Cable Facade - Realgar Ore
appliedenergistics2:facade:0, Cable Facade - Nether Realgar Ore
appliedenergistics2:facade:0, Cable Facade - End Realgar Ore
appliedenergistics2:facade:0, Cable Facade - Bastnasite Ore
appliedenergistics2:facade:0, Cable Facade - Nether Bastnasite Ore
appliedenergistics2:facade:0, Cable Facade - End Bastnasite Ore
appliedenergistics2:facade:0, Cable Facade - Pentlandite Ore
appliedenergistics2:facade:0, Cable Facade - Nether Pentlandite Ore
appliedenergistics2:facade:0, Cable Facade - End Pentlandite Ore
appliedenergistics2:facade:0, Cable Facade - Spodumene Ore
appliedenergistics2:facade:0, Cable Facade - Nether Spodumene Ore
appliedenergistics2:facade:0, Cable Facade - End Spodumene Ore
appliedenergistics2:facade:0, Cable Facade - Lepidolite Ore
appliedenergistics2:facade:0, Cable Facade - Nether Lepidolite Ore
appliedenergistics2:facade:0, Cable Facade - End Lepidolite Ore
appliedenergistics2:facade:0, Cable Facade - Glauconite Sand Ore
appliedenergistics2:facade:0, Cable Facade - Nether Glauconite Sand Ore
appliedenergistics2:facade:0, Cable Facade - End Glauconite Sand Ore
appliedenergistics2:facade:0, Cable Facade - Malachite Ore
appliedenergistics2:facade:0, Cable Facade - Nether Malachite Ore
appliedenergistics2:facade:0, Cable Facade - End Malachite Ore
appliedenergistics2:facade:0, Cable Facade - Mica Ore
appliedenergistics2:facade:0, Cable Facade - Nether Mica Ore
appliedenergistics2:facade:0, Cable Facade - End Mica Ore
appliedenergistics2:facade:0, Cable Facade - Barite Ore
appliedenergistics2:facade:0, Cable Facade - Nether Barite Ore
appliedenergistics2:facade:0, Cable Facade - End Barite Ore
appliedenergistics2:facade:0, Cable Facade - Alunite Ore
appliedenergistics2:facade:0, Cable Facade - Nether Alunite Ore
appliedenergistics2:facade:0, Cable Facade - End Alunite Ore
appliedenergistics2:facade:0, Cable Facade - Talc Ore
appliedenergistics2:facade:0, Cable Facade - Nether Talc Ore
appliedenergistics2:facade:0, Cable Facade - End Talc Ore
appliedenergistics2:facade:0, Cable Facade - Soapstone Ore
appliedenergistics2:facade:0, Cable Facade - Nether Soapstone Ore
appliedenergistics2:facade:0, Cable Facade - End Soapstone Ore
appliedenergistics2:facade:0, Cable Facade - Kyanite Ore
appliedenergistics2:facade:0, Cable Facade - Nether Kyanite Ore
appliedenergistics2:facade:0, Cable Facade - End Kyanite Ore
appliedenergistics2:facade:0, Cable Facade - Pyrochlore Ore
appliedenergistics2:facade:0, Cable Facade - Nether Pyrochlore Ore
appliedenergistics2:facade:0, Cable Facade - End Pyrochlore Ore
appliedenergistics2:facade:0, Cable Facade - Oilsands Ore
appliedenergistics2:facade:0, Cable Facade - Nether Oilsands Ore
appliedenergistics2:facade:0, Cable Facade - End Oilsands Ore
appliedenergistics2:facade:0, Cable Facade - Olivine Ore
appliedenergistics2:facade:0, Cable Facade - Nether Olivine Ore
appliedenergistics2:facade:0, Cable Facade - End Olivine Ore
appliedenergistics2:facade:0, Cable Facade - Opal Ore
appliedenergistics2:facade:0, Cable Facade - Nether Opal Ore
appliedenergistics2:facade:0, Cable Facade - End Opal Ore
appliedenergistics2:facade:0, Cable Facade - Amethyst Ore
appliedenergistics2:facade:0, Cable Facade - Nether Amethyst Ore
appliedenergistics2:facade:0, Cable Facade - End Amethyst Ore
appliedenergistics2:facade:0, Cable Facade - Lapis Ore
appliedenergistics2:facade:0, Cable Facade - Nether Lapis Ore
appliedenergistics2:facade:0, Cable Facade - End Lapis Ore
appliedenergistics2:facade:0, Cable Facade - Apatite Ore
appliedenergistics2:facade:0, Cable Facade - Nether Apatite Ore
appliedenergistics2:facade:0, Cable Facade - End Apatite Ore
appliedenergistics2:facade:0, Cable Facade - Tricalcium Phosphate Ore
appliedenergistics2:facade:0, Cable Facade - Nether Tricalcium Phosphate Ore
appliedenergistics2:facade:0, Cable Facade - End Tricalcium Phosphate Ore
appliedenergistics2:facade:0, Cable Facade - Red Garnet Ore
appliedenergistics2:facade:0, Cable Facade - Nether Red Garnet Ore
appliedenergistics2:facade:0, Cable Facade - End Red Garnet Ore
appliedenergistics2:facade:0, Cable Facade - Yellow Garnet Ore
appliedenergistics2:facade:0, Cable Facade - Nether Yellow Garnet Ore
appliedenergistics2:facade:0, Cable Facade - End Yellow Garnet Ore
appliedenergistics2:facade:0, Cable Facade - Vanadium Magnetite Ore
appliedenergistics2:facade:0, Cable Facade - Nether Vanadium Magnetite Ore
appliedenergistics2:facade:0, Cable Facade - End Vanadium Magnetite Ore
appliedenergistics2:facade:0, Cable Facade - Pollucite Ore
appliedenergistics2:facade:0, Cable Facade - Nether Pollucite Ore
appliedenergistics2:facade:0, Cable Facade - End Pollucite Ore
appliedenergistics2:facade:0, Cable Facade - Bentonite Ore
appliedenergistics2:facade:0, Cable Facade - Nether Bentonite Ore
appliedenergistics2:facade:0, Cable Facade - End Bentonite Ore
appliedenergistics2:facade:0, Cable Facade - Fullers Earth Ore
appliedenergistics2:facade:0, Cable Facade - Nether Fullers Earth Ore
appliedenergistics2:facade:0, Cable Facade - End Fullers Earth Ore
appliedenergistics2:facade:0, Cable Facade - Pitchblende Ore
appliedenergistics2:facade:0, Cable Facade - Nether Pitchblende Ore
appliedenergistics2:facade:0, Cable Facade - End Pitchblende Ore
appliedenergistics2:facade:0, Cable Facade - Monazite Ore
appliedenergistics2:facade:0, Cable Facade - Nether Monazite Ore
appliedenergistics2:facade:0, Cable Facade - End Monazite Ore
appliedenergistics2:facade:0, Cable Facade - Trona Ore
appliedenergistics2:facade:0, Cable Facade - Nether Trona Ore
appliedenergistics2:facade:0, Cable Facade - End Trona Ore
appliedenergistics2:facade:0, Cable Facade - Gypsum Ore
appliedenergistics2:facade:0, Cable Facade - Nether Gypsum Ore
appliedenergistics2:facade:0, Cable Facade - End Gypsum Ore
appliedenergistics2:facade:0, Cable Facade - Zeolite Ore
appliedenergistics2:facade:0, Cable Facade - Nether Zeolite Ore
appliedenergistics2:facade:0, Cable Facade - End Zeolite Ore
appliedenergistics2:facade:0, Cable Facade - Redstone Ore
appliedenergistics2:facade:0, Cable Facade - Nether Redstone Ore
appliedenergistics2:facade:0, Cable Facade - End Redstone Ore
appliedenergistics2:facade:0, Cable Facade - Electrotine Ore
appliedenergistics2:facade:0, Cable Facade - Nether Electrotine Ore
appliedenergistics2:facade:0, Cable Facade - End Electrotine Ore
appliedenergistics2:facade:0, Cable Facade - Diatomite Ore
appliedenergistics2:facade:0, Cable Facade - Nether Diatomite Ore
appliedenergistics2:facade:0, Cable Facade - End Diatomite Ore
appliedenergistics2:facade:0, Cable Facade - Granitic Mineral Sand Ore
appliedenergistics2:facade:0, Cable Facade - Nether Granitic Mineral Sand Ore
appliedenergistics2:facade:0, Cable Facade - End Granitic Mineral Sand Ore
appliedenergistics2:facade:0, Cable Facade - Garnet Sand Ore
appliedenergistics2:facade:0, Cable Facade - Nether Garnet Sand Ore
appliedenergistics2:facade:0, Cable Facade - End Garnet Sand Ore
appliedenergistics2:facade:0, Cable Facade - Basaltic Mineral Sand Ore
appliedenergistics2:facade:0, Cable Facade - Nether Basaltic Mineral Sand Ore
appliedenergistics2:facade:0, Cable Facade - End Basaltic Mineral Sand Ore
appliedenergistics2:facade:0, Cable Facade - Gadolinite Ore
appliedenergistics2:facade:0, Cable Facade - Nether Gadolinite Ore
appliedenergistics2:facade:0, Cable Facade - End Gadolinite Ore
appliedenergistics2:facade:0, Cable Facade - Zircon Ore
appliedenergistics2:facade:0, Cable Facade - Nether Zircon Ore
appliedenergistics2:facade:0, Cable Facade - End Zircon Ore
appliedenergistics2:facade:0, Cable Facade - Precious Metal Ore
appliedenergistics2:facade:0, Cable Facade - Nether Precious Metal Ore
appliedenergistics2:facade:0, Cable Facade - End Precious Metal Ore
appliedenergistics2:facade:0, Cable Facade - Columbite Ore
appliedenergistics2:facade:0, Cable Facade - Nether Columbite Ore
appliedenergistics2:facade:0, Cable Facade - End Columbite Ore
appliedenergistics2:facade:0, Cable Facade - Celestine Ore
appliedenergistics2:facade:0, Cable Facade - Nether Celestine Ore
appliedenergistics2:facade:0, Cable Facade - End Celestine Ore
appliedenergistics2:facade:0, Cable Facade - Crushing Wheels
appliedenergistics2:facade:0, Cable Facade - Slicing Blades
appliedenergistics2:facade:0, Cable Facade - Electrolytic Cell
appliedenergistics2:facade:0, Cable Facade - Heat Vent
appliedenergistics2:facade:0, Cable Facade - Molybdenum Disilicide Coil Block
appliedenergistics2:facade:0, Cable Facade - Secure Maceration Casing
appliedenergistics2:facade:0, Cable Facade - High Temperature Smelting Casing
appliedenergistics2:facade:0, Cable Facade - Large-Scale Assembler Casing
appliedenergistics2:facade:0, Cable Facade - Stress Proof Casing
appliedenergistics2:facade:0, Cable Facade - Corrosion Proof Casing
appliedenergistics2:facade:0, Cable Facade - Vibration-Safe Casing
appliedenergistics2:facade:0, Cable Facade - Watertight Casing
appliedenergistics2:facade:0, Cable Facade - Shock Proof Cutting Casing
appliedenergistics2:facade:0, Cable Facade - Nonconducting Casing
appliedenergistics2:facade:0, Cable Facade - Reaction-Safe Mixing Casing
appliedenergistics2:facade:0, Cable Facade - Laser-Safe Engraving Casing
appliedenergistics2:facade:0, Cable Facade - Atomic Casing
appliedenergistics2:facade:0, Cable Facade - Industrial Steam Casing
appliedenergistics2:facade:0, Cable Facade - Oak Trim
appliedenergistics2:facade:0, Cable Facade - Spruce Trim
appliedenergistics2:facade:0, Cable Facade - Birch Trim
appliedenergistics2:facade:0, Cable Facade - Jungle Trim
appliedenergistics2:facade:0, Cable Facade - Acacia Trim
appliedenergistics2:facade:0, Cable Facade - Dark Oak Trim
appliedenergistics2:facade:0, Cable Facade - Adobe Bricks
appliedenergistics2:facade:0, Cable Facade - Reinforced Adobe Bricks
appliedenergistics2:facade:0, Cable Facade - Porcelain Tile
appliedenergistics2:facade:0, Cable Facade - Dark Porcelain Tile
appliedenergistics2:facade:0, Cable Facade - Food-Safe Bismuth Bronze Casing
appliedenergistics2:facade:0, Cable Facade - Banana Leaves
appliedenergistics2:facade:0, Cable Facade - Orange Leaves
appliedenergistics2:facade:0, Cable Facade - Mango Leaves
appliedenergistics2:facade:0, Cable Facade - Apricot Leaves
appliedenergistics2:facade:0, Cable Facade - Lemon Leaves
appliedenergistics2:facade:0, Cable Facade - Lime Leaves
appliedenergistics2:facade:0, Cable Facade - Olive Leaves
appliedenergistics2:facade:0, Cable Facade - Rainbowwood Leaves
appliedenergistics2:facade:0, Cable Facade - Nutmeg Leaves
appliedenergistics2:facade:0, Cable Facade - Coconut Leaves
appliedenergistics2:facade:0, Cable Facade - Banana Pseudostem
appliedenergistics2:facade:0, Cable Facade - Orange Wood
appliedenergistics2:facade:0, Cable Facade - Mango Wood
appliedenergistics2:facade:0, Cable Facade - Apricot Wood
appliedenergistics2:facade:0, Cable Facade - Lemon Wood
appliedenergistics2:facade:0, Cable Facade - Lime Wood
appliedenergistics2:facade:0, Cable Facade - Olive Wood
appliedenergistics2:facade:0, Cable Facade - Rainbowwood Wood
appliedenergistics2:facade:0, Cable Facade - Nutmeg Wood
appliedenergistics2:facade:0, Cable Facade - Coconut Wood
appliedenergistics2:facade:0, Cable Facade - Banana Planks
appliedenergistics2:facade:0, Cable Facade - Orange Planks
appliedenergistics2:facade:0, Cable Facade - Mango Planks
appliedenergistics2:facade:0, Cable Facade - Apricot Planks
appliedenergistics2:facade:0, Cable Facade - Lemon Planks
appliedenergistics2:facade:0, Cable Facade - Lime Planks
appliedenergistics2:facade:0, Cable Facade - Olive Planks
appliedenergistics2:facade:0, Cable Facade - Rainbowwood Planks
appliedenergistics2:facade:0, Cable Facade - Nutmeg Planks
appliedenergistics2:facade:0, Cable Facade - Coconut Planks
appliedenergistics2:facade:0, Cable Facade - Climate Proof Casing
appliedenergistics2:facade:0, Cable Facade - Quantum Casing
appliedenergistics2:facade:0, Cable Facade - Quantum Glass
appliedenergistics2:facade:0, Cable Facade - tile.gtb_multiblock_casing.perfectly_sealed_vacuum_casing.name
appliedenergistics2:facade:0, Cable Facade - tile.gtb_multiblock_casing.engraver_casing.name
appliedenergistics2:facade:0, Cable Facade - Substrate Casing
appliedenergistics2:facade:0, Cable Facade - Basic Structural Casing
appliedenergistics2:facade:0, Cable Facade - Advanced Substrate Casing
appliedenergistics2:facade:0, Cable Facade - Vacuum Furnace Casing
appliedenergistics2:facade:0, Cable Facade - Silicon Carbide Casing
appliedenergistics2:facade:0, Cable Facade - Biologically Sterile Casing
appliedenergistics2:facade:0, Cable Facade - Fullerene Polymer Tetrix Casing
appliedenergistics2:facade:0, Cable Facade - Gravity Separator Rotor Block
appliedenergistics2:facade:0, Cable Facade - Dimensional Casing
appliedenergistics2:facade:0, Cable Facade - Field Generator Casing
appliedenergistics2:facade:0, Cable Facade - High Energy Coil
appliedenergistics2:facade:0, Cable Facade - Naquadria Charge
appliedenergistics2:facade:0, Cable Facade - Temporally Constrained Anti-Matter Coil Block
appliedenergistics2:facade:0, Cable Facade - Cataclysm Induced Mixed-Matter Coil Block
appliedenergistics2:facade:0, Cable Facade - HSS-S Coil Block
appliedenergistics2:facade:0, Cable Facade - Naquadah Alloy Coil Block
appliedenergistics2:facade:0, Cable Facade - Awakened Draconium Coil Block
appliedenergistics2:facade:0, Cable Facade - Adamantium Coil Block
appliedenergistics2:facade:0, Cable Facade - Pikyonium Coil Block
appliedenergistics2:facade:0, Cable Facade - Cosmic Neutronium Coil Block
appliedenergistics2:facade:0, Cable Facade - Infinity Coil Block
appliedenergistics2:facade:0, Cable Facade - Eternal Coil Block
appliedenergistics2:facade:0, Cable Facade - Quartz Crucible
appliedenergistics2:facade:0, Cable Facade - Tungsten Crucible
appliedenergistics2:facade:0, Cable Facade - Graphite Crucible
appliedenergistics2:facade:0, Cable Facade - Boron Nitride Crucible
appliedenergistics2:facade:0, Cable Facade - Silver Alloy Cooling Coil
appliedenergistics2:facade:0, Cable Facade - Illuminant Block
appliedenergistics2:facade:0, Cable Facade - Illuminant Block (Inverted)
appliedenergistics2:facade:0, Cable Facade - Inventory Cable
appliedenergistics2:facade:0, Cable Facade - Beech Log
appliedenergistics2:facade:0, Cable Facade - Beech parquet
appliedenergistics2:facade:0, Cable Facade - Beech planks
appliedenergistics2:facade:0, Cable Facade - Beech leaves
appliedenergistics2:facade:0, Cable Facade - Redwood Log
appliedenergistics2:facade:0, Cable Facade - Redwood parquet
appliedenergistics2:facade:0, Cable Facade - Redwood planks
appliedenergistics2:facade:0, Cable Facade - Redwood leaves
appliedenergistics2:facade:0, Cable Facade - Eucalyptus Log
appliedenergistics2:facade:0, Cable Facade - Eucalyptus parquet
appliedenergistics2:facade:0, Cable Facade - Eucalyptus planks
appliedenergistics2:facade:0, Cable Facade - Eucalyptus leaves
appliedenergistics2:facade:0, Cable Facade - Hornbeam Log
appliedenergistics2:facade:0, Cable Facade - Hornbeam parquet
appliedenergistics2:facade:0, Cable Facade - Hornbeam planks
appliedenergistics2:facade:0, Cable Facade - Hornbeam leaves
appliedenergistics2:facade:0, Cable Facade - Pear Log
appliedenergistics2:facade:0, Cable Facade - Pear parquet
appliedenergistics2:facade:0, Cable Facade - Pear planks
appliedenergistics2:facade:0, Cable Facade - Pear leaves
appliedenergistics2:facade:0, Cable Facade - Apple Log
appliedenergistics2:facade:0, Cable Facade - Apple parquet
appliedenergistics2:facade:0, Cable Facade - Apple planks
appliedenergistics2:facade:0, Cable Facade - Apple leaves
appliedenergistics2:facade:0, Cable Facade - Jacaranda Log
appliedenergistics2:facade:0, Cable Facade - Jacaranda parquet
appliedenergistics2:facade:0, Cable Facade - Jacaranda planks
appliedenergistics2:facade:0, Cable Facade - Jacaranda leaves
appliedenergistics2:facade:0, Cable Facade - Rowan Log
appliedenergistics2:facade:0, Cable Facade - Rowan parquet
appliedenergistics2:facade:0, Cable Facade - Rowan planks
appliedenergistics2:facade:0, Cable Facade - Rowan leaves
appliedenergistics2:facade:0, Cable Facade - Fir Log
appliedenergistics2:facade:0, Cable Facade - Fir parquet
appliedenergistics2:facade:0, Cable Facade - Fir Planks
appliedenergistics2:facade:0, Cable Facade - Fir leaves
appliedenergistics2:facade:0, Cable Facade - Hazel Log
appliedenergistics2:facade:0, Cable Facade - Hazel Parquet
appliedenergistics2:facade:0, Cable Facade - Hazel Planks
appliedenergistics2:facade:0, Cable Facade - Hazel leaves
appliedenergistics2:facade:0, Cable Facade - Cherry Log
appliedenergistics2:facade:0, Cable Facade - Cherry parquet
appliedenergistics2:facade:0, Cable Facade - Cherry planks
appliedenergistics2:facade:0, Cable Facade - Pink Cherry leaves
appliedenergistics2:facade:0, Cable Facade - White Cherry leaves
appliedenergistics2:facade:0, Cable Facade - Baobab Log
appliedenergistics2:facade:0, Cable Facade - Baobab parquet
appliedenergistics2:facade:0, Cable Facade - Baobab planks
appliedenergistics2:facade:0, Cable Facade - Baobab leaves
appliedenergistics2:facade:0, Cable Facade - Ebony Log
appliedenergistics2:facade:0, Cable Facade - Ebony parquet
appliedenergistics2:facade:0, Cable Facade - Ebony planks
appliedenergistics2:facade:0, Cable Facade - Ebony leaves
appliedenergistics2:facade:0, Cable Facade - Pine Log
appliedenergistics2:facade:0, Cable Facade - Pine parquet
appliedenergistics2:facade:0, Cable Facade - Pine planks
appliedenergistics2:facade:0, Cable Facade - Pine leaves
appliedenergistics2:facade:0, Cable Facade - Palm Log
appliedenergistics2:facade:0, Cable Facade - Palm parquet
appliedenergistics2:facade:0, Cable Facade - Palm planks
appliedenergistics2:facade:0, Cable Facade - Palm leaves
appliedenergistics2:facade:0, Cable Facade - Mahogany Log
appliedenergistics2:facade:0, Cable Facade - Mahogany parquet
appliedenergistics2:facade:0, Cable Facade - Mahogany planks
appliedenergistics2:facade:0, Cable Facade - Mahogany leaves
appliedenergistics2:facade:0, Cable Facade - Cedar Log
appliedenergistics2:facade:0, Cable Facade - Cedar parquet
appliedenergistics2:facade:0, Cable Facade - Cedar planks
appliedenergistics2:facade:0, Cable Facade - Cedar leaves
appliedenergistics2:facade:0, Cable Facade - Willow Log
appliedenergistics2:facade:0, Cable Facade - Willow parquet
appliedenergistics2:facade:0, Cable Facade - Willow planks
appliedenergistics2:facade:0, Cable Facade - Willow leaves
appliedenergistics2:facade:0, Cable Facade - Red Autumn leaves
appliedenergistics2:facade:0, Cable Facade - Orange Autumn leaves
appliedenergistics2:facade:0, Cable Facade - Yellow Autumn leaves
appliedenergistics2:facade:0, Cable Facade - Rotten leaves
appliedenergistics2:facade:0, Cable Facade - Rotten Log
appliedenergistics2:facade:0, Cable Facade - Dead Log
appliedenergistics2:facade:0, Cable Facade - Brown Grass Block
appliedenergistics2:facade:0, Cable Facade - Mold Grass Block
appliedenergistics2:facade:0, Cable Facade - Desert Grass Block
appliedenergistics2:facade:0, Cable Facade - Dried Grass Block
appliedenergistics2:facade:0, Cable Facade - Overgrown Stone
appliedenergistics2:facade:0, Cable Facade - Brown Dirt
appliedenergistics2:facade:0, Cable Facade - Mold Dirt
appliedenergistics2:facade:0, Cable Facade - Desert Dirt
appliedenergistics2:facade:0, Cable Facade - Dried Dirt
appliedenergistics2:facade:0, Cable Facade - Frozen Dirt
appliedenergistics2:facade:0, Cable Facade - Brown podzol
appliedenergistics2:facade:0, Cable Facade - Mold podzol
appliedenergistics2:facade:0, Cable Facade - Brown mycelium
appliedenergistics2:facade:0, Cable Facade - Mold mycelium
appliedenergistics2:facade:0, Cable Facade - tile.mud.name
appliedenergistics2:facade:0, Cable Facade - Dried sand
appliedenergistics2:facade:0, Cable Facade - Ash Block
appliedenergistics2:facade:0, Cable Facade - White Sand
appliedenergistics2:facade:0, Cable Facade - Ash
appliedenergistics2:facade:0, Cable Facade - Dark Stone
appliedenergistics2:facade:0, Cable Facade - Hardened Sandstone
appliedenergistics2:facade:0, Cable Facade - Red Hardened Sandstone
appliedenergistics2:facade:0, Cable Facade - Frozen Stone
appliedenergistics2:facade:0, Cable Facade - Basalt
appliedenergistics2:facade:0, Cable Facade - Carbonatite
appliedenergistics2:facade:0, Cable Facade - Chalk
appliedenergistics2:facade:0, Cable Facade - Conglomerate
appliedenergistics2:facade:0, Cable Facade - Dolomite
appliedenergistics2:facade:0, Cable Facade - Epidosite
appliedenergistics2:facade:0, Cable Facade - Gabbro
appliedenergistics2:facade:0, Cable Facade - Gneiss
appliedenergistics2:facade:0, Cable Facade - Gypsum
